Guid,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,Website,Industry,AnnualRevenue,NumberOfEmployees,Description,Jigsaw,AccountSource,SicDesc,SBQQ__AssetQuantitiesCombined__c,SBQQ__CoTermedContractsCombined__c,SBQQ__ContractCoTermination__c,SBQQ__DefaultOpportunity__c,SBQQ__IgnoreParentContractedPrices__c,SBQQ__PreserveBundle__c,SBQQ__PriceHoldEnd__c,SBQQ__RenewalModel__c,SBQQ__RenewalPricingMethod__c,SBQQ__TaxExempt__c,SBQQ__CoTerminationEvent__c
06748562-9447-43d5-a4d2-d9f19fa2bb8c,Global Media,Prospect,#N/A,150 Chestnut Street,Toronto,Ontario,L4B 1Y3,Canada,#N/A,#N/A,#N/A,150 Chestnut Street,Toronto,Ontario,L4B 1Y3,Canada,#N/A,#N/A,#N/A,(905) 555-1212,#N/A,#N/A,Media,#N/A,14668,"GBM is the worldwide leader in technology news and information on the Web and the producer of the longest-running and farthest-reaching television shows about technology. GBM's network of sites combines breakthrough interactive technology with engaging content and design and is consistently ranked as the Internet's leading content network in terms of both audience size and revenue, serving millions of users each day. The company's television programming is broadcast by the USA Network and the Sci-Fi Channel to more than 70 million households and is syndicated to broadcast television stations in the nation's top 120 markets, including the top 10 markets.",#N/A,#N/A,#N/A,false,false,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A
0bcd4a83-be5f-477e-a76f-7a2895388873,Acme,Prospect,#N/A,10 Main Rd.,New York,NY,31349,USA,#N/A,#N/A,#N/A,10 Main Rd.,New York,NY,31349,USA,#N/A,#N/A,#N/A,(212) 555-5555,(212) 555-5555,#N/A,Manufacturing,1.0E8,680,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A
0f325ad7-28e4-4608-b19f-478d4b720745,Account #2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,#N/A,Same,No,#N/A
19c51447-0113-424a-9905-5df660e0f753,Sample Account for Entitlements,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,#N/A,Same,No,#N/A
1fcb9842-92a2-419d-b8b8-4aad404703eb,Account #2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,#N/A,Same,No,#N/A
264678c9-3779-4a64-9627-6a3cb89a1666,salesforce.com,Customer,#N/A,"The Landmark @ One Market, Suite 300",San Francisco,CA,94105,USA,#N/A,#N/A,#N/A,"The Landmark @ One Market, Suite 300",San Francisco,CA,94105,USA,#N/A,#N/A,#N/A,(415) 901-7000,(415) 901-7040,http://www.salesforce.com,Technology,#N/A,#N/A,"Founded in March 1999, salesforce.com (http://www.salesforce.com) builds and delivers customer relationship management (CRM) applications as scalable online services. The salesforce.com product suite - Team Edition, Professional Edition, Enterprise Edition, Wireless Edition and Offline Edition - gives companies of all sizes a complete 360-degree view of the customer. The company's award-winning CRM solutions provide integrated online sales force automation, customer service and support management, and marketing automation applications to help companies meet the complex challenges of global customer communication. Salesforce.com has received considerable recognition in the industry, including Editors' Choice and two Five-Star ratings from PC Magazine, two Deploy Awards from InfoWorld, Red Herring 100, Upside Hot 100, Investor's Choice Award from Enterprise Outlook, Editors' Choice from TMCLabs, Top 10 CRM Implementation from Aberdeen Group, and InfoWorld's 2001 CRM Technology of the Year. Founded in 1999, salesforce.com is headquartered in San Francisco, with offices in Europe and Asia.",#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,#N/A,Same,No,#N/A
2fccb0c5-19cf-4225-9192-3d46b7f3fbe6,My Account #1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,#N/A,Same,No,#N/A
35c66f15-1014-487b-9b8d-8054d5f467a3,Sample Account for Entitlements,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,#N/A,Same,No,#N/A
3e05384e-2152-4d66-9537-8aac0cb59145,salesforce.com,Customer,#N/A,"The Landmark @ One Market, Suite 300",San Francisco,CA,94105,USA,#N/A,#N/A,#N/A,"The Landmark @ One Market, Suite 300",San Francisco,CA,94105,USA,#N/A,#N/A,#N/A,(415) 901-7000,(415) 901-7040,http://www.salesforce.com,Technology,#N/A,#N/A,"Founded in March 1999, salesforce.com (http://www.salesforce.com) builds and delivers customer relationship management (CRM) applications as scalable online services. The salesforce.com product suite - Team Edition, Professional Edition, Enterprise Edition, Wireless Edition and Offline Edition - gives companies of all sizes a complete 360-degree view of the customer. The company's award-winning CRM solutions provide integrated online sales force automation, customer service and support management, and marketing automation applications to help companies meet the complex challenges of global customer communication. Salesforce.com has received considerable recognition in the industry, including Editors' Choice and two Five-Star ratings from PC Magazine, two Deploy Awards from InfoWorld, Red Herring 100, Upside Hot 100, Investor's Choice Award from Enterprise Outlook, Editors' Choice from TMCLabs, Top 10 CRM Implementation from Aberdeen Group, and InfoWorld's 2001 CRM Technology of the Year. Founded in 1999, salesforce.com is headquartered in San Francisco, with offices in Europe and Asia.",#N/A,#N/A,#N/A,false,false,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A
3fd957e7-2f41-4618-ac36-1e9bb596c08c,Account #3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,#N/A,false,true,#N/A,#N/A,Same,No,#N/A
